,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
747,Marley,2012,,,7.6,149,,,,,,,,,,4/20/2012,,1400000,,1400000,"$1,400,000 ",Magn.,en,6.86
748,The Paperboy,2012,,,5.5,409,,,,,,,,,,10/5/2012,,693000,661000,1354000,"$1,354,000 ",MNE,en,8.143
749,Chasing Ice,2012,,,7.6,91,,,,,,,,,,11/9/2012,,1300000,,1300000,"$1,300,000 ",SD,en,5.433
750,Unforgivable,2012,,,6.5,2,,,,,,,,,,9/9/2011,,154000,1200000,1354000,"$1,354,000 ",Strand,fr,1.176
751,A Little Bit of Heaven,2012,,,6.3,333,,,,,,,,,,2/3/2011,,15400,1300000,1315400,"$1,315,400 ",MNE,en,7.87
752,The Other Son,2012,,,6.3,44,,,,,,,,,,10/26/2012,,1300000,,1300000,"$1,300,000 ",Cohen,fr,2.418
753,"For a Good Time, Call...",2012,,,5.8,167,,,,,,,,,,8/31/2012,,1300000,,1300000,"$1,300,000 ",Focus,en,8.686
754,"For a Good Time, Call...",2012,,,5.5,1,,,,,,,,,,4/1/2017,,1300000,,1300000,"$1,300,000 ",Focus,en,0.891
755,Take This Waltz,2012,,,6.5,178,,,,,,,,,,5/25/2012,,1200000,,1200000,"$1,200,000 ",Magn.,en,6.222
756,Ek Main Aur Ekk Tu,2012,,,5.6,41,,,,,,,,,,2/10/2012,,1200000,,1200000,"$1,200,000 ",UTV,hi,4.662
757,The Deep Blue Sea,2012,,,5.8,132,,,,,,,,,,3/23/2012,,1100000,,1100000,"$1,100,000 ",MBox,en,6.817
758,Coriolanus,2012,,,6,215,,,,,,,,,,1/19/2012,,757000,315000,1072000,"$1,072,000 ",Wein.,en,8.016
759,Diana Vreeland: The Eye Has to Travel,2012,,,7.3,20,,,,,,,,,,9/21/2012,,1000000,,1000000,"$1,000,000 ",Gold.,en,2.36
760,First Position,2012,,,7.8,24,,,,,,,,,,5/4/2012,,1000000,,1000000,"$1,000,000 ",IFC,en,1.949
761,Damsels in Distress,2012,,,5.5,103,,,,,,,,,,4/6/2012,,1000000,,1000000,"$1,000,000 ",SPC,en,6.625
762,Rampart,2012,,,5.5,189,,,,,,,,,,11/23/2011,,973000,,973000,"$973,000 ",MNE,en,9.413
763,Elles,2012,,,5.5,74,,,,,,,,,,4/22/2012,,158000,754000,912000,"$912,000 ",KL,fr,7.693
764,W.E.,2012,,,5.8,94,,,,,,,,,,2/3/2012,,583000,285000,868000,"$868,000 ",Wein.,en,8.09
765,Breathing,2012,,,7.1,24,,,,,,,,,,3/29/2012,,4600,803000,807600,"$807,600 ",KL,de,2.062
766,Darling Companion,2012,,,5,46,,,,,,,,,,4/20/2012,,794000,,794000,"$794,000 ",SPC,en,4.656
767,Holy Motors,2012,,,7,431,,,,,,,,,,10/17/2012,,641000,,641000,"$641,000 ",IM,fr,5.31
768,Free Men,2012,,,5.9,10,,,,,,,,,,3/16/2012,,53800,564000,617800,"$617,800 ",FM,fr,1.96
769,Vicky Donor,2012,,,7,71,,,,,,,,,,4/20/2012,,549000,,549000,"$549,000 ",Eros,hi,5.064
770,Being Flynn,2012,,,6.2,128,,,,,,,,,,3/2/2012,,540000,,540000,"$540,000 ",Focus,en,7.293
771,Ai Weiwei: Never Sorry,2012,,,7.2,49,,,,,,,,,,7/27/2012,,534000,,534000,"$534,000 ",IFC,en,5.305
772,Where Do We Go Now?,2012,,,7.4,89,,,,,,,,,,5/11/2012,,532000,,532000,"$532,000 ",SPC,fr,7.156
773,Dark Tide,2012,,,5,105,,,,,,,,,,3/30/2012,,,432000,432000,"$432,000 ",WHE,en,7.132
774,Sound of My Voice,2012,,,6.4,169,,,,,,,,,,1/22/2011,,408000,,408000,"$408,000 ",FoxS,en,7.212
775,Khiladi 786,2012,,,4.7,16,,,,,,,,,,12/7/2012,,379000,,379000,"$379,000 ",Eros,en,1.824
776,Smashed,2012,,,6.4,134,,,,,,,,,,10/12/2012,,377000,,377000,"$377,000 ",SPC,en,7.455
777,Universal Soldier: Day of Reckoning,2012,,,5.3,192,,,,,,,,,,11/30/2012,,5500,364000,369500,"$369,500 ",Magn.,en,8.257
778,The Oranges,2012,,,5.5,335,,,,,,,,,,9/10/2011,,366000,,366000,"$366,000 ",ATO,en,6.191
779,Liberal Arts,2012,,,6.3,279,,,,,,,,,,9/14/2012,,327000,,327000,"$327,000 ",IFC,en,8.088
780,Compliance,2012,,,6.4,340,,,,,,,,,,8/24/2012,,319000,,319000,"$319,000 ",Magn.,en,6.93
781,Back to 1942,2012,,,6.1,19,,,,,,,,,,11/30/2012,,313000,,313000,"$313,000 ",CL,zh,2.302
782,The Flowers of War,2012,,,7.4,333,,,,,,,,,,12/18/2012,,311000,,311000,"$311,000 ",WHE,zh,9.01
783,Love in the Buff,2012,,,6.8,20,,,,,,,,,,3/30/2012,,256000,,256000,"$256,000 ",CL,cn,2.138
784,Lola Versus,2012,,,5,82,,,,,,,,,,4/24/2012,,253000,,253000,"$253,000 ",FoxS,en,5.621
785,Keep the Lights On,2012,,,6.2,44,,,,,,,,,,9/7/2012,,246000,,246000,"$246,000 ",MBox,en,4.815
786,Gerhard Richter Painting,2012,,,7.1,9,,,,,,,,,,3/14/2012,,243000,,243000,"$243,000 ",KL,en,1.248
787,Trishna,2012,,,5.9,29,,,,,,,,,,7/12/2012,,240000,,240000,"$240,000 ",IFC,en,2.873
788,Elena,2012,,,7.3,92,,,,,,,,,,6/6/2011,,233000,,233000,"$233,000 ",Zeit.,ru,7.319
789,Elena,2012,,,8.2,23,,,,,,,,,,5/30/2014,,233000,,233000,"$233,000 ",Zeit.,pt,1.367
790,Elena,2012,,,8.2,23,,,,,,,,,,5/30/2014,,233000,,233000,"$233,000 ",Zeit.,pt,1.367
791,Neil Young Journeys,2012,,,7.3,4,,,,,,,,,,6/29/2012,,215000,,215000,"$215,000 ",SPC,en,0.716
792,Tai Chi Zero,2012,,,6,61,,,,,,,,,,10/19/2012,,212000,,212000,"$212,000 ",Vari.,zh,5.99
793,The House I Live In,2012,,,7.8,42,,,,,,,,,,10/5/2012,,211000,,211000,"$211,000 ",Abr.,en,2.661
794,10 Years,2012,,,5.8,299,,,,,,,,,,9/14/2012,,203000,,203000,"$203,000 ",Anch.,en,6.724
795,17 Girls,2012,,,5.5,199,,,,,,,,,,10/10/2011,,15100,186000,201100,"$201,100 ",Strand,fr,6.701
796,Any Day Now,2012,,,6.9,45,,,,,,,,,,12/14/2012,,201000,,201000,"$201,000 ",MBox,en,3.779
797,Butter,2012,,,5.8,220,,,,,,,,,,9/4/2011,,105000,70700,175700,"$175,700 ",RTWC,en,7.43
798,Kill List,2012,,,6.1,332,,,,,,,,,,1/4/2012,,29100,143000,172100,"$172,100 ",IFC,en,7.036
799,Dark Horse,2012,,,5.5,51,,,,,,,,,,6/8/2012,,166000,,166000,"$166,000 ",BM&DH,en,3.972
800,Dark Horse,2012,,,4.1,27,,,,,,,,,,5/6/2016,,166000,,166000,"$166,000 ",BM&DH,en,2.355
801,Dark Horse,2012,,,4.1,27,,,,,,,,,,5/6/2016,,166000,,166000,"$166,000 ",BM&DH,en,2.355
802,Bullhead,2012,,,7.3,165,,,,,,,,,,2/17/2012,,152000,,152000,"$152,000 ",Drft.,nl,5.117
803,Bullhead,2012,,,7.3,165,,,,,,,,,,2/17/2012,,152000,,152000,"$152,000 ",Drft.,nl,5.117
804,Chakravyuh,2012,,,5.8,8,,,,,,,,,,10/24/2012,,152000,,152000,"$152,000 ",Eros,hi,1.345
805,Luv Shuv Tey Chicken Khurana,2012,,,6.1,12,,,,,,,,,,11/2/2012,,144000,,144000,"$144,000 ",UTV,hi,2.587
806,High School,2012,,,5.8,68,,,,,,,,,,6/3/2010,,139000,,139000,"$139,000 ",Anch.,en,5.762
807,High School,2012,,,5.8,68,,,,,,,,,,6/3/2010,,139000,,139000,"$139,000 ",Anch.,en,5.762
808,The Loneliest Planet,2012,,,5.8,29,,,,,,,,,,10/25/2012,,130000,,130000,"$130,000 ",IFC,en,3.361
809,"Turn Me On, Dammit!",2012,,,6.3,88,,,,,,,,,,11/11/2011,,126000,,126000,"$126,000 ",NYer,no,9.137
810,God Bless America,2012,,,7.1,532,,,,,,,,,,5/11/2012,,123000,,123000,"$123,000 ",Magn.,en,9.153
811,The Woman in the Fifth,2012,,,5,43,,,,,,,,,,6/15/2012,,114000,,114000,"$114,000 ",ATO,fr,3.239
812,Hello I Must Be Going,2012,,,5.9,71,,,,,,,,,,9/7/2012,,107000,,107000,"$107,000 ",Osci.,en,5.759
813,The Magic of Belle Isle,2012,,,7.1,187,,,,,,,,,,7/6/2012,,102000,,102000,"$102,000 ",Magn.,en,8.027
814,"Oslo, August 31st",2012,,,7.5,129,,,,,,,,,,5/25/2012,,101000,,101000,"$101,000 ",Strand,no,6.485
815,Mugamoodi,2012,,,5.1,9,,,,,,,,,,8/31/2012,,101000,,101000,"$101,000 ",UTV,ta,2.377
816,V/H/S,2012,,,5.9,604,,,,,,,,,,10/5/2012,,100000,,100000,"$100,000 ",Magn.,en,7.172
817,Goodbye First Love,2012,,,6.2,59,,,,,,,,,,9/3/2011,,95000,,95000,"$95,000 ",IFC,fr,4.816
818,Goodbye First Love,2012,,,6.2,59,,,,,,,,,,9/3/2011,,95000,,95000,"$95,000 ",IFC,fr,4.816
819,The Eye of the Storm,2012,,,5.4,11,,,,,,,,,,9/7/2011,,83600,,83600,"$83,600 ",SEG,en,2.329
820,Wagner & Me,2012,,,8,2,,,,,,,,,,11/2/2012,,37700,41000,78700,"$78,700 ",FRun,en,0.84
821,The Innkeepers,2012,,,5.5,324,,,,,,,,,,12/30/2011,,78400,,78400,"$78,400 ",Magn.,en,8.494
822,The Island President,2012,,,5.4,5,,,,,,,,,,3/28/2012,,76400,,76400,"$76,400 ",Gold.,en,0.6
823,Detachment,2012,,,7.5,606,,,,,,,,,,4/25/2011,,72700,,72700,"$72,700 ",Trib.,en,7.972
824,The Green Wave,2012,,,8.7,3,,,,,,,,,,8/10/2012,,,70100,70100,"$70,100 ",RF,de,0.936
825,Attenberg,2012,,,5.9,52,,,,,,,,,,3/9/2012,,24000,45900,69900,"$69,900 ",Strand,el,5.733
826,Attenberg,2012,,,5.9,52,,,,,,,,,,3/9/2012,,24000,45900,69900,"$69,900 ",Strand,el,5.733
827,Vulgaria,2012,,,6.3,21,,,,,,,,,,9/28/2012,,59100,,59100,"$59,100 ",CL,cn,4.675
828,The Turin Horse,2012,,,7.9,134,,,,,,,,,,10/13/2011,,56400,,56400,"$56,400 ",CGld,hu,7.763
829,Jodi Breakers,2012,,,7.8,3,,,,,,,,,,3/2/2012,,52600,,52600,"$52,600 ",Yash,hi,0.6
830,Painted Skin: The Resurrection,2012,,,5.7,33,,,,,,,,,,8/17/2012,,50400,,50400,"$50,400 ",WGUSA,zh,4.953
831,North Sea Texas,2012,,,7.2,108,,,,,,,,,,12/20/2011,,28300,16700,45000,"$45,000 ",Strand,nl,7.502
832,Double Trouble,2012,,,4,1,,,,,,,,,,6/8/2012,,44800,,44800,"$44,800 ",CL,zh,0.956
833,The Fairy,2012,,,5.9,25,,,,,,,,,,2/23/2012,,38400,,38400,"$38,400 ",KL,fr,2.309
834,Hit So Hard,2012,,,5.8,8,,,,,,,,,,4/20/2012,,34000,,34000,"$34,000 ",Vari.,en,1.455
835,The Bay,2012,,,5.5,341,,,,,,,,,,11/2/2012,,30700,,30700,"$30,700 ",RAtt.,en,5.19
836,You've Been Trumped,2012,,,6.6,20,,,,,,,,,,8/3/2012,,29300,,29300,"$29,300 ",ICir,en,2.13
837,The First Time,2012,,,7,1426,,,,,,,,,,10/19/2012,,22800,,22800,"$22,800 ",Gold.,en,11.25
838,Bonsai,2012,,,7,6,,,,,,,,,,9/2/2011,,21300,,21300,"$21,300 ",Strand,en,1.382
839,The Day,2012,,,5,125,,,,,,,,,,8/29/2012,,21000,,21000,"$21,000 ",Anch.,en,7.631
840,28 Hotel Rooms,2012,,,6,32,,,,,,,,,,1/21/2012,,18900,,18900,"$18,900 ",Osci.,en,3.024
841,Lovely Molly,2012,,,5.1,125,,,,,,,,,,5/18/2012,,18500,,18500,"$18,500 ",Imag.,en,6.364
842,Juan of the Dead,2012,,,6.2,118,,,,,,,,,,3/16/2012,,18000,,18000,"$18,000 ",Outs,es,6.631
843,Little Birds,2012,,,6,54,,,,,,,,,,1/23/2011,,17700,,17700,"$17,700 ",MNE,en,6.11
844,Take Me Home,2012,,,6.6,72,,,,,,,,,,3/2/2011,,15800,,15800,"$15,800 ",Mont.,en,6.197
845,Reuniting the Rubins,2012,,,5,2,,,,,,,,,,3/16/2012,,13600,,13600,"$13,600 ",Mont.,en,0.6
846,Grassroots,2012,,,5.1,8,,,,,,,,,,6/22/2012,,12400,,12400,"$12,400 ",Gold.,en,3.643
847,Corpo Celeste,2012,,,7.3,19,,,,,,,,,,6/8/2012,,8900,,8900,"$8,900 ",FM,it,1.813
848,Dreams of a Life,2012,,,6.9,33,,,,,,,,,,8/3/2012,,8400,,8400,"$8,400 ",Strand,en,1.976
849,The Babymakers,2012,,,4.9,76,,,,,,,,,,8/3/2012,,7900,,7900,"$7,900 ",MNE,en,8.356
850,The Good Doctor,2012,,,5.5,90,,,,,,,,,,4/23/2011,,5200,,5200,"$5,200 ",Magn.,en,6.993
851,ATM,2012,,,5.1,291,,,,,,,,,,4/6/2012,,3000,,3000,"$3,000 ",IFC,en,6.984
852,About Cherry,2012,,,4.4,139,,,,,,,,,,9/21/2012,,3000,,3000,"$3,000 ",IFC,en,9.935
853,Perfect Sense,2012,,,6.8,539,,,,,,,,,,1/24/2011,,3000,,3000,"$3,000 ",IFC,en,7.732
854,Cheerful Weather for the Wedding,2012,,,5.8,30,,,,,,,,,,12/7/2012,,2700,,2700,"$2,700 ",IFC,en,4.438
855,The Decoy Bride,2012,,,6,125,,,,,,,,,,10/10/2011,,800,,800,$800 ,IFC,en,8.976
856,Death of a Superhero,2012,,,7.1,64,,,,,,,,,,5/4/2011,,600,,600,$600 ,Trib.,en,5.158
857,Frozen,2013,,,5.8,987,,,,,,,,,,2/5/2010,,400700000,875700000,1276400000,"$1,276,400,000 ",BV,en,9.678
858,Frozen,2013,,,7.3,9767,,,,,,,,,,11/27/2013,,400700000,875700000,1276400000,"$1,276,400,000 ",BV,en,26.183
859,Iron Man 3,2013,,,6.9,14155,,,,,,,,,,5/3/2013,,409000000,805800000,1214800000,"$1,214,800,000 ",BV,en,32.093
860,Despicable Me 2,2013,,,6.9,7319,,,,,,,,,,7/3/2013,,368100000,602700000,970800000,"$970,800,000 ",Uni.,en,19.014
861,The Hobbit: The Desolation of Smaug,2013,,,7.6,7739,,,,,,,,,,12/13/2013,,258399999,700000000,958399999,"$958,399,999 ",WB (NL),en,21.275
862,The Hunger Games: Catching Fire,2013,,,7.4,11170,,,,,,,,,,11/22/2013,,424700000,440300000,865000000,"$865,000,000 ",LGF,en,20.187
863,Fast & Furious 6,2013,,,6.8,7077,,,,,,,,,,5/22/2013,,238700000,550000000,788700000,"$788,700,000 ",Uni.,en,2.114
864,Monsters University,2013,,,7,6362,,,,,,,,,,6/21/2013,,268500000,475700000,744200000,"$744,200,000 ",BV,en,20.33
865,Gravity,2013,,,7.2,9586,,,,,,,,,,10/4/2013,,274100000,449100000,723200000,"$723,200,000 ",WB,en,27.836
866,Man of Steel,2013,,,6.5,9758,,,,,,,,,,6/14/2013,,291000000,377000000,668000000,"$668,000,000 ",WB,en,27.667
867,Thor: The Dark World,2013,,,6.7,10171,,,,,,,,,,11/8/2013,,206400000,438200000,644600000,"$644,600,000 ",BV,en,31.014
868,The Croods,2013,,,6.8,3873,,,,,,,,,,3/22/2013,,187200000,400000000,587200000,"$587,200,000 ",Fox,en,16.29
869,World War Z,2013,,,6.7,9132,,,,,,,,,,6/21/2013,,202400000,337600000,540000000,"$540,000,000 ",Par.,en,14.582
870,Star Trek Into Darkness,2013,,,7.4,6182,,,,,,,,,,5/16/2013,,228800000,238600000,467400000,"$467,400,000 ",Par.,en,20.487
871,The Wolverine,2013,,,6.3,6176,,,,,,,,,,7/25/2013,,132600000,282300000,414900000,"$414,900,000 ",Fox,en,4.323
872,Pacific Rim,2013,,,6.8,7632,,,,,,,,,,7/12/2013,,101800000,309200000,411000000,"$411,000,000 ",WB,en,16.759
873,The Wolf of Wall Street,2013,,,7.9,12411,,,,,,,,,,12/25/2013,,116900000,275100000,392000000,"$392,000,000 ",Par.,en,29.518
874,G.I. Joe: Retaliation,2013,,,5.5,3883,,,,,,,,,,3/29/2013,,122500000,253200000,375700000,"$375,700,000 ",Par.,en,15.065
875,The Hangover Part III,2013,,,6.1,5130,,,,,,,,,,5/23/2013,,112200000,249800000,362000000,"$362,000,000 ",WB,en,18.519
876,Now You See Me,2013,,,7.4,9871,,,,,,,,,,5/31/2013,,117700000,234000000,351700000,"$351,700,000 ",LG/S,en,16.646
877,The Smurfs 2,2013,,,5.7,1200,,,,,,,,,,7/31/2013,,71000000,276500000,347500000,"$347,500,000 ",Sony,en,12.941
878,The Conjuring,2013,,,7.5,5912,,,,,,,,,,7/19/2013,,137400000,182100000,319500000,"$319,500,000 ",WB (NL),en,18.886
879,A Good Day to Die Hard,2013,,,5.2,4437,,,,,,,,,,2/14/2013,,67300000,237300000,304600000,"$304,600,000 ",Fox,en,15.858
880,Oblivion,2013,,,6.5,6850,,,,,,,,,,4/18/2013,,89100000,197100000,286200000,"$286,200,000 ",Uni.,en,18.534
881,Elysium,2013,,,6.4,5406,,,,,,,,,,8/9/2013,,93100000,193100000,286200000,"$286,200,000 ",TriS,en,17.663
882,Turbo,2013,,,6.1,1758,,,,,,,,,,7/19/2013,,83000000,199500000,282500000,"$282,500,000 ",Fox,en,14.876
883,Cloudy with a Chance of Meatballs 2,2013,,,6.4,1679,,,,,,,,,,9/27/2013,,119800000,154500000,274300000,"$274,300,000 ",Sony,en,18.335
884,We're the Millers,2013,,,6.8,5231,,,,,,,,,,8/7/2013,,150400000,119600000,270000000,"$270,000,000 ",WB (NL),en,14.746
885,Epic,2013,,,6.4,1670,,,,,,,,,,5/24/2013,,107500000,160900000,268400000,"$268,400,000 ",Fox,en,13.995
886,The Lone Ranger,2013,,,6,3789,,,,,,,,,,7/3/2013,,89300000,171200000,260500000,"$260,500,000 ",BV,en,12.482
887,American Hustle,2013,,,6.8,4443,,,,,,,,,,12/12/2013,,150100000,101100000,251200000,"$251,200,000 ",Sony,en,12.481
888,American Hustle,2013,,,6.8,4443,,,,,,,,,,12/12/2013,,150100000,101100000,251200000,"$251,200,000 ",Sony,en,12.481
889,Grown Ups 2,2013,,,5.9,2090,,,,,,,,,,7/12/2013,,133699999,113300000,246999999,"$246,999,999 ",Sony,en,11.289
890,After Earth,2013,,,5.1,4154,,,,,,,,,,5/31/2013,,60500000,183300000,243800000,"$243,800,000 ",Sony,en,14.415
891,Planes,2013,,,5.8,874,,,,,,,,,,8/9/2013,,90300000,149000000,239300000,"$239,300,000 ",BV,en,13.956
892,The Heat,2013,,,6.6,2441,,,,,,,,,,6/28/2013,,159600000,70300000,229900000,"$229,900,000 ",Fox,en,16.912
893,Captain Phillips,2013,,,7.6,3909,,,,,,,,,,10/11/2013,,107100000,111700000,218800000,"$218,800,000 ",Sony,en,15.483
894,White House Down,2013,,,6.4,2817,,,,,,,,,,6/28/2013,,73100000,132300000,205400000,"$205,400,000 ",Sony,en,13.026
895,Percy Jackson: Sea of Monsters,2013,,,5.9,3109,,,,,,,,,,8/7/2013,,68600000,131300000,199900000,"$199,900,000 ",Fox,en,15.762
896,Lost in Thailand,2013,,,6.5,36,,,,,,,,,,2/5/2013,,57400,197700000,197757400,"$197,757,400 ",WAMCR,zh,4.369
897,Jack the Giant Slayer,2013,,,5.6,3403,,,,,,,,,,3/1/2013,,65200000,132500000,197700000,"$197,700,000 ",WB (NL),en,12.773
898,The Secret Life of Walter Mitty,2013,,,7.1,4859,,,,,,,,,,12/25/2013,,58200000,129900000,188100000,"$188,100,000 ",Fox,en,10.743
899,12 Years a Slave,2013,,,7.9,6631,,,,,,,,,,10/30/2013,,56700000,131100000,187800000,"$187,800,000 ",FoxS,en,16.493
900,Identity Thief,2013,,,5.8,2230,,,,,,,,,,2/9/2013,,134500000,39500000,174000000,"$174,000,000 ",Uni.,en,13.553
901,Anchorman 2: The Legend Continues,2013,,,6.1,1408,,,,,,,,,,12/18/2013,,125200000,46300000,171500000,"$171,500,000 ",Par.,en,12.08
902,Olympus Has Fallen,2013,,,6.2,4086,,,,,,,,,,3/22/2013,,98900000,71300000,170200000,"$170,200,000 ",FD,en,13.864
903,Lone Survivor,2013,,,7.4,2289,,,,,,,,,,12/24/2013,,125100000,29700000,154800000,"$154,800,000 ",Uni.,en,15.404
904,Jackass Presents: Bad Grandpa,2013,,,6,928,,,,,,,,,,10/25/2013,,102000000,49800000,151800000,"$151,800,000 ",Par.,en,8.823
905,47 Ronin,2013,,,6,2080,,,,,,,,,,12/25/2013,,38400000,113400000,151800000,"$151,800,000 ",Uni.,en,25.049
906,Mama,2013,,,6.1,2421,,,,,,,,,,1/18/2013,,71600000,74800000,146400000,"$146,400,000 ",Uni.,en,11.983
907,Escape Plan,2013,,,6.7,2799,,,,,,,,,,10/18/2013,,25100000,112200000,137300000,"$137,300,000 ",LG/S,en,17.88
908,Last Vegas,2013,,,6.4,1211,,,,,,,,,,11/1/2013,,63900000,70500000,134400000,"$134,400,000 ",CBS,en,6.533
909,2 Guns,2013,,,6.5,2368,,,,,,,,,,8/2/2013,,75600000,56300000,131900000,"$131,900,000 ",Uni.,en,14.8
910,Walking with Dinosaurs,2013,,,5.4,210,,,,,,,,,,12/20/2013,,36100000,90500000,126600000,"$126,600,000 ",Fox,en,10.56
911,Ender's Game,2013,,,6.6,3558,,,,,,,,,,11/1/2013,,61700000,63800000,125500000,"$125,500,000 ",LG/S,en,15.533
912,Prisoners,2013,,,8,5785,,,,,,,,,,9/21/2013,,61000000,61100000,122100000,"$122,100,000 ",WB,en,14.358
913,Saving Mr. Banks,2013,,,7.4,2050,,,,,,,,,,12/20/2013,,83300000,34600000,117900000,"$117,900,000 ",BV,en,9.585
914,Warm Bodies,2013,,,6.3,4109,,,,,,,,,,2/1/2013,,66400000,50600000,117000000,"$117,000,000 ",LG/S,en,13.259
915,Personal Tailor,2013,,,5.1,8,,,,,,,,,,12/20/2013,,376000,115800000,116176000,"$116,176,000 ",CL,zh,2.02
916,Free Birds,2013,,,5.8,410,,,,,,,,,,11/1/2013,,55800000,54600000,110400000,"$110,400,000 ",Rela.,en,11.062
917,Gangster Squad,2013,,,6.3,2527,,,,,,,,,,1/11/2013,,46000000,59200000,105200000,"$105,200,000 ",WB,en,13.029
918,Philomena,2013,,,7.4,945,,,,,,,,,,11/27/2013,,37700000,62400000,100100000,"$100,100,000 ",Wein.,en,8.978
919,Instructions Not Included,2013,,,7.6,339,,,,,,,,,,8/30/2013,,44500000,54600000,99100000,"$99,100,000 ",LGF,es,6.842
920,Riddick,2013,,,6.2,2852,,,,,,,,,,9/6/2013,,42000000,56300000,98300000,"$98,300,000 ",Uni.,en,17.434
921,Safe Haven,2013,,,7.1,1433,,,,,,,,,,2/14/2013,,71300000,26200000,97500000,"$97,500,000 ",Rela.,en,9.095
922,Blue Jasmine,2013,,,7,1983,,,,,,,,,,7/26/2013,,33400000,64099999,97499999,"$97,499,999 ",SPC,en,10.443
923,The Mortal Instruments: City of Bones,2013,,,6.3,2915,,,,,,,,,,8/21/2013,,31200000,64200000,95400000,"$95,400,000 ",SGem,en,16.484
924,The Internship,2013,,,6.2,2631,,,,,,,,,,6/7/2013,,44700000,48800000,93500000,"$93,500,000 ",Fox,en,0.6
925,The Purge,2013,,,6.2,4797,,,,,,,,,,6/6/2013,,64500000,24900000,89400000,"$89,400,000 ",Uni.,en,24.364
926,Dhoom 3,2013,,,5.9,136,,,,,,,,,,12/20/2013,,8000000,80000000,88000000,"$88,000,000 ",Yash,hi,6.798
927,About Time,2013,,,7.9,3981,,,,,,,,,,11/8/2013,,15300000,71800000,87100000,"$87,100,000 ",Uni.,en,14.133
928,Scary Movie 5,2013,,,4.7,1494,,,,,,,,,,4/12/2013,,32000000,46400000,78400000,"$78,400,000 ",W/Dim.,en,16.316
929,R.I.P.D.,2013,,,5.6,2047,,,,,,,,,,7/19/2013,,33600000,44700000,78300000,"$78,300,000 ",Uni.,en,21.377
930,Tiny Times,2013,,,4.3,23,,,,,,,,,,7/26/2013,,23500,77700000,77723500,"$77,723,500 ",CL,zh,4.535
931,The Book Thief,2013,,,7.5,2788,,,,,,,,,,11/8/2013,,21500000,55100000,76600000,"$76,600,000 ",Fox,en,9.034
932,August: Osage County,2013,,,6.9,843,,,,,,,,,,12/27/2013,,37700000,36500000,74200000,"$74,200,000 ",Wein.,en,9.586
933,August: Osage County,2013,,,6.9,843,,,,,,,,,,12/27/2013,,37700000,36500000,74200000,"$74,200,000 ",Wein.,en,9.586
934,The Best Man Holiday,2013,,,6.6,145,,,,,,,,,,11/15/2013,,70500000,2300000,72800000,"$72,800,000 ",Uni.,en,8.581
935,Young Detective Dee: Rise of the Sea Dragon,2013,,,6.1,120,,,,,,,,,,9/27/2013,,87800,72200000,72287800,"$72,287,800 ",WAMCR,zh,7.689
936,The Counselor,2013,,,5.1,1072,,,,,,,,,,10/25/2013,,17000000,54000000,71000000,"$71,000,000 ",Fox,en,10.55
937,The Call,2013,,,6.7,1779,,,,,,,,,,3/14/2013,,51900000,16700000,68600000,"$68,600,000 ",TriS,en,11.315
938,The Grandmaster,2013,,,6.5,385,,,,,,,,,,8/30/2013,,6600000,57500000,64100000,"$64,100,000 ",Wein.,zh,9.017
939,Runner Runner,2013,,,5.6,761,,,,,,,,,,10/2/2013,,19300000,43400000,62700000,"$62,700,000 ",Fox,en,10.442
940,From Up on Poppy Hill,2013,,,7.6,644,,,,,,,,,,11/16/2012,,1000000,60000000,61000000,"$61,000,000 ",GK,ja,11.574
941,Kick-Ass 2,2013,,,6.4,3785,,,,,,,,,,8/16/2013,,28800000,32000000,60800000,"$60,800,000 ",Uni.,en,14.793
942,A Haunted House,2013,,,5.5,871,,,,,,,,,,1/11/2013,,40000000,20100000,60100000,"$60,100,000 ",ORF,en,6.909
943,Quartet,2013,,,6.6,209,,,,,,,,,,1/10/2013,,18400000,41100000,59500000,"$59,500,000 ",Wein.,en,8.32
944,Dallas Buyers Club,2013,,,7.9,4961,,,,,,,,,,11/22/2013,,27300000,27900000,55200000,"$55,200,000 ",Focus,en,12.389
945,Dallas Buyers Club,2013,,,7.9,4961,,,,,,,,,,11/22/2013,,27300000,27900000,55200000,"$55,200,000 ",Focus,en,12.389
946,The Face Reader,2013,,,6.5,35,,,,,,,,,,10/4/2013,,516000,54100000,54616000,"$54,616,000 ",PM&E,ko,4.804
947,Delivery Man,2013,,,6.2,858,,,,,,,,,,11/22/2013,,30700000,19300000,50000000,"$50,000,000 ",BV,en,7.962
948,The Berlin File,2013,,,6.8,89,,,,,,,,,,2/14/2013,,665000,48300000,48965000,"$48,965,000 ",CJ,ko,6.895
949,The Last Stand,2013,,,5.9,1692,,,,,,,,,,1/12/2013,,12100000,36300000,48400000,"$48,400,000 ",LGF,en,15.894
950,Texas Chainsaw 3D,2013,,,5.3,780,,,,,,,,,,1/4/2013,,34300000,12900000,47200000,"$47,200,000 ",LGF,en,18.256
951,The Big Wedding,2013,,,5.8,678,,,,,,,,,,4/25/2013,,21800000,24700000,46500000,"$46,500,000 ",LGF,en,11.231
952,Parker,2013,,,5.8,1868,,,,,,,,,,1/25/2013,,17600000,28600000,46200000,"$46,200,000 ",FD,en,14.95
